DATE,PCUATRNWRATRNWR
2006-12-01,100.0
2007-01-01,101.7
2007-02-01,101.9
2007-03-01,102.3
2007-04-01,102.8
2007-05-01,103.4
2007-06-01,104.7
2007-07-01,105.1
2007-08-01,105.4
2007-09-01,104.5
2007-10-01,105.6
2007-11-01,106.5
2007-12-01,106.6
2008-01-01,108.3
2008-02-01,108.3
2008-03-01,109.8
2008-04-01,110.5
2008-05-01,112.7
2008-06-01,115.1
2008-07-01,116.0
2008-08-01,116.0
2008-09-01,115.1
2008-10-01,114.3
2008-11-01,112.3
2008-12-01,109.9
2009-01-01,110.0
2009-02-01,108.2
2009-03-01,107.2
2009-04-01,107.1
2009-05-01,106.4
2009-06-01,107.0
2009-07-01,107.8
2009-08-01,108.6
2009-09-01,108.0
2009-10-01,108.6
2009-11-01,109.4
2009-12-01,109.4
2010-01-01,111.1
2010-02-01,111.2
2010-03-01,112.1
2010-04-01,112.6
2010-05-01,112.8
2010-06-01,113.6
2010-07-01,113.8
2010-08-01,113.2
2010-09-01,112.2
2010-10-01,113.2
2010-11-01,113.7
2010-12-01,113.9
2011-01-01,115.7
2011-02-01,116.8
2011-03-01,118.7
2011-04-01,119.6
2011-05-01,120.3
2011-06-01,120.4
2011-07-01,120.4
2011-08-01,120.7
2011-09-01,120.1
2011-10-01,120.5
2011-11-01,120.7
2011-12-01,120.9
2012-01-01,122.1
2012-02-01,122.9
2012-03-01,124.1
2012-04-01,124.5
2012-05-01,124.5
2012-06-01,124.5
2012-07-01,124.0
2012-08-01,124.2
2012-09-01,123.3
2012-10-01,124.2
2012-11-01,124.1
2012-12-01,124.0
2013-01-01,125.0
2013-02-01,125.4
2013-03-01,126.3
2013-04-01,125.5
2013-05-01,125.1
2013-06-01,126.0
2013-07-01,126.3
2013-08-01,126.5
2013-09-01,125.1
2013-10-01,125.9
2013-11-01,125.4
2013-12-01,126.8
2014-01-01,126.9
2014-02-01,127.1
2014-03-01,128.4
2014-04-01,129.0
2014-05-01,129.0
2014-06-01,129.7
2014-07-01,129.8
2014-08-01,130.0
2014-09-01,128.4
2014-10-01,128.4
2014-11-01,128.2
2014-12-01,128.3
2015-01-01,128.2
2015-02-01,127.3
2015-03-01,127.7
2015-04-01,127.2
2015-05-01,127.1
2015-06-01,127.9
2015-07-01,127.9
2015-08-01,126.9
2015-09-01,125.5
2015-10-01,125.8
2015-11-01,125.7
2015-12-01,125.2
2016-01-01,126.0
2016-02-01,125.5
2016-03-01,126.1
2016-04-01,125.5
2016-05-01,124.7
2016-06-01,125.7
2016-07-01,126.3
2016-08-01,125.9
2016-09-01,123.8
2016-10-01,124.9
2016-11-01,125.3
2016-12-01,126.3
2017-01-01,127.1
2017-02-01,127.4
2017-03-01,127.0
2017-04-01,127.6
2017-05-01,127.0
2017-06-01,128.1
2017-07-01,127.8
2017-08-01,127.7
2017-09-01,127.6
2017-10-01,128.9
2017-11-01,129.7
2017-12-01,129.1
2018-01-01,130.0
2018-02-01,131.0
2018-03-01,132.3
2018-04-01,132.6
2018-05-01,132.6
2018-06-01,134.2
2018-07-01,134.6
2018-08-01,134.0
2018-09-01,134.5
2018-10-01,136.1
2018-11-01,136.7
2018-12-01,136.3
2019-01-01,137.2
2019-02-01,136.4
2019-03-01,136.8
2019-04-01,137.4
2019-05-01,137.5
2019-06-01,138.3
2019-07-01,138.6
2019-08-01,137.7
2019-09-01,136.7
2019-10-01,137.9
2019-11-01,137.9
2019-12-01,139.7
2020-01-01,139.0
2020-02-01,138.3
2020-03-01,135.8
2020-04-01,132.0
2020-05-01,132.9
2020-06-01,134.5
2020-07-01,133.6
2020-08-01,132.2
2020-09-01,132.8
2020-10-01,135.2
2020-11-01,134.6
2020-12-01,134.1
2021-01-01,135.0
2021-02-01,136.1
2021-03-01,138.5
2021-04-01,142.5
2021-05-01,142.8
2021-06-01,145.6
2021-07-01,147.625
2021-08-01,148.312
2021-09-01,147.851
2021-10-01,150.266
2021-11-01,153.389
2021-12-01,155.950
2022-01-01,157.367
2022-02-01,159.015
2022-03-01,165.723
2022-04-01,169.567
2022-05-01,171.296
2022-06-01,173.464
2022-07-01,173.307
2022-08-01,171.384
2022-09-01,169.615
2022-10-01,171.374
2022-11-01,169.792
2022-12-01,169.672
2023-01-01,170.105
2023-02-01,170.160
2023-03-01,171.057
2023-04-01,167.584
2023-05-01,167.219
2023-06-01,167.964
2023-07-01,167.134
2023-08-01,167.174
