,DATE,HOUST
0,2002-01-01,1698.0
1,2002-02-01,1829.0
2,2002-03-01,1642.0
3,2002-04-01,1592.0
4,2002-05-01,1764.0
5,2002-06-01,1717.0
6,2002-07-01,1655.0
7,2002-08-01,1633.0
8,2002-09-01,1804.0
9,2002-10-01,1648.0
10,2002-11-01,1753.0
11,2002-12-01,1788.0
12,2003-01-01,1853.0
13,2003-02-01,1629.0
14,2003-03-01,1726.0
15,2003-04-01,1643.0
16,2003-05-01,1751.0
17,2003-06-01,1867.0
18,2003-07-01,1897.0
19,2003-08-01,1833.0
20,2003-09-01,1939.0
21,2003-10-01,1967.0
22,2003-11-01,2083.0
23,2003-12-01,2057.0
24,2004-01-01,1911.0
25,2004-02-01,1846.0
26,2004-03-01,1998.0
27,2004-04-01,2003.0
28,2004-05-01,1981.0
29,2004-06-01,1828.0
30,2004-07-01,2002.0
31,2004-08-01,2024.0
32,2004-09-01,1905.0
33,2004-10-01,2072.0
34,2004-11-01,1782.0
35,2004-12-01,2042.0
36,2005-01-01,2144.0
37,2005-02-01,2207.0
38,2005-03-01,1864.0
39,2005-04-01,2061.0
40,2005-05-01,2025.0
41,2005-06-01,2068.0
42,2005-07-01,2054.0
43,2005-08-01,2095.0
44,2005-09-01,2151.0
45,2005-10-01,2065.0
46,2005-11-01,2147.0
47,2005-12-01,1994.0
48,2006-01-01,2273.0
49,2006-02-01,2119.0
50,2006-03-01,1969.0
51,2006-04-01,1821.0
52,2006-05-01,1942.0
53,2006-06-01,1802.0
54,2006-07-01,1737.0
55,2006-08-01,1650.0
56,2006-09-01,1720.0
57,2006-10-01,1491.0
58,2006-11-01,1570.0
59,2006-12-01,1649.0
60,2007-01-01,1409.0
61,2007-02-01,1480.0
62,2007-03-01,1495.0
63,2007-04-01,1490.0
64,2007-05-01,1415.0
65,2007-06-01,1448.0
66,2007-07-01,1354.0
67,2007-08-01,1330.0
68,2007-09-01,1183.0
69,2007-10-01,1264.0
70,2007-11-01,1197.0
71,2007-12-01,1037.0
72,2008-01-01,1084.0
73,2008-02-01,1103.0
74,2008-03-01,1005.0
75,2008-04-01,1013.0
76,2008-05-01,973.0
77,2008-06-01,1046.0
78,2008-07-01,923.0
79,2008-08-01,844.0
80,2008-09-01,820.0
81,2008-10-01,777.0
82,2008-11-01,652.0
83,2008-12-01,560.0
84,2009-01-01,490.0
85,2009-02-01,582.0
86,2009-03-01,505.0
87,2009-04-01,478.0
88,2009-05-01,540.0
89,2009-06-01,585.0
90,2009-07-01,594.0
91,2009-08-01,586.0
92,2009-09-01,585.0
93,2009-10-01,534.0
94,2009-11-01,588.0
95,2009-12-01,581.0
96,2010-01-01,614.0
97,2010-02-01,604.0
98,2010-03-01,636.0
99,2010-04-01,687.0
100,2010-05-01,583.0
101,2010-06-01,536.0
102,2010-07-01,546.0
103,2010-08-01,599.0
104,2010-09-01,594.0
105,2010-10-01,543.0
106,2010-11-01,545.0
107,2010-12-01,539.0
108,2011-01-01,630.0
109,2011-02-01,517.0
110,2011-03-01,600.0
111,2011-04-01,554.0
112,2011-05-01,561.0
113,2011-06-01,608.0
114,2011-07-01,623.0
115,2011-08-01,585.0
116,2011-09-01,650.0
117,2011-10-01,610.0
118,2011-11-01,711.0
119,2011-12-01,694.0
120,2012-01-01,723.0
121,2012-02-01,704.0
122,2012-03-01,695.0
123,2012-04-01,753.0
124,2012-05-01,708.0
125,2012-06-01,757.0
126,2012-07-01,740.0
127,2012-08-01,754.0
128,2012-09-01,847.0
129,2012-10-01,915.0
130,2012-11-01,833.0
131,2012-12-01,976.0
132,2013-01-01,888.0
133,2013-02-01,962.0
134,2013-03-01,1010.0
135,2013-04-01,835.0
136,2013-05-01,930.0
137,2013-06-01,839.0
138,2013-07-01,880.0
139,2013-08-01,917.0
140,2013-09-01,850.0
141,2013-10-01,925.0
142,2013-11-01,1100.0
143,2013-12-01,1002.0
144,2014-01-01,888.0
145,2014-02-01,944.0
146,2014-03-01,970.0
147,2014-04-01,1043.0
148,2014-05-01,1007.0
149,2014-06-01,911.0
150,2014-07-01,1085.0
151,2014-08-01,984.0
152,2014-09-01,1023.0
153,2014-10-01,1074.0
154,2014-11-01,1001.0
155,2014-12-01,1073.0
156,2015-01-01,1085.0
157,2015-02-01,886.0
158,2015-03-01,960.0
159,2015-04-01,1190.0
160,2015-05-01,1079.0
161,2015-06-01,1205.0
162,2015-07-01,1146.0
163,2015-08-01,1130.0
164,2015-09-01,1224.0
165,2015-10-01,1058.0
166,2015-11-01,1172.0
167,2015-12-01,1146.0
168,2016-01-01,1092.0
169,2016-02-01,1225.0
170,2016-03-01,1111.0
171,2016-04-01,1163.0
172,2016-05-01,1148.0
173,2016-06-01,1203.0
174,2016-07-01,1239.0
175,2016-08-01,1171.0
176,2016-09-01,1068.0
177,2016-10-01,1313.0
178,2016-11-01,1140.0
179,2016-12-01,1252.0
180,2017-01-01,1190.0
181,2017-02-01,1271.0
182,2017-03-01,1190.0
183,2017-04-01,1146.0
184,2017-05-01,1157.0
185,2017-06-01,1249.0
186,2017-07-01,1206.0
187,2017-08-01,1159.0
188,2017-09-01,1181.0
189,2017-10-01,1257.0
190,2017-11-01,1273.0
191,2017-12-01,1177.0
192,2018-01-01,1299.0
193,2018-02-01,1277.0
194,2018-03-01,1318.0
195,2018-04-01,1276.0
196,2018-05-01,1357.0
197,2018-06-01,1192.0
198,2018-07-01,1208.0
199,2018-08-01,1288.0
200,2018-09-01,1250.0
201,2018-10-01,1221.0
202,2018-11-01,1181.0
203,2018-12-01,1095.0
204,2019-01-01,1232.0
205,2019-02-01,1128.0
206,2019-03-01,1195.0
207,2019-04-01,1267.0
208,2019-05-01,1307.0
209,2019-06-01,1228.0
210,2019-07-01,1245.0
211,2019-08-01,1367.0
212,2019-09-01,1300.0
213,2019-10-01,1332.0
214,2019-11-01,1346.0
215,2019-12-01,1551.0
216,2020-01-01,1572.0
217,2020-02-01,1565.0
218,2020-03-01,1267.0
219,2020-04-01,925.0
220,2020-05-01,1054.0
221,2020-06-01,1266.0
222,2020-07-01,1529.0
223,2020-08-01,1377.0
224,2020-09-01,1463.0
225,2020-10-01,1537.0
226,2020-11-01,1545.0
227,2020-12-01,1663.0
228,2021-01-01,1602.0
229,2021-02-01,1422.0
230,2021-03-01,1700.0
231,2021-04-01,1484.0
232,2021-05-01,1600.0
233,2021-06-01,1661.0
234,2021-07-01,1593.0
235,2021-08-01,1576.0
236,2021-09-01,1560.0
237,2021-10-01,1572.0
238,2021-11-01,1712.0
239,2021-12-01,1787.0
240,2022-01-01,1669.0
241,2022-02-01,1771.0
242,2022-03-01,1713.0
243,2022-04-01,1803.0
244,2022-05-01,1543.0
245,2022-06-01,1561.0
246,2022-07-01,1371.0
247,2022-08-01,1505.0
248,2022-09-01,1463.0
249,2022-10-01,1432.0
250,2022-11-01,1427.0
251,2022-12-01,1357.0
252,2023-01-01,1340.0
253,2023-02-01,1436.0
254,2023-03-01,1380.0
255,2023-04-01,1348.0
256,2023-05-01,1583.0
257,2023-06-01,1418.0
258,2023-07-01,1447.0
259,2023-08-01,1283.0
